,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25
12811,-4.578314,-5.019096,-0.9268784,-1.6067109,-4.6705523,-1.674848,-7.4196687,3.1479552,-5.026462,4.3371143,-1.175312,3.1561348,-3.058365,1.3275887,-1.577956,-3.7929034,-0.9119743,3.6253347,3.0805326,-2.8635728,0.32815215,0.21649328,-0.09573639,-0.35983562,7.7900405
12914,-12.294813,18.97245,0.75667554,-0.8310836,1.4413366,-1.5245223,-6.7751074,-3.1094272,1.3934249,4.298876,-5.0730057,-3.0008485,-0.4287525,0.23720354,-0.6967321,-0.050912693,-2.9409559,-1.7741237,2.3666859,-1.5894452,3.1291077,3.0767512,-2.2136197,-0.42488843,6.067277
12034,-10.494498,5.5917273,0.4052456,-2.6200175,-5.057118,4.577493,-1.6670654,-2.220179,-1.2555232,2.0137532,3.7737231,0.58150345,-2.7371185,-3.020576,-1.21094,3.5587494,2.862613,-1.3721002,0.37168062,1.0247035,-2.678332,-1.2567774,-2.176769,5.5344133,0.40643144
12837,-12.497638,18.863358,1.0222522,0.47069308,1.2699957,-0.5748498,-3.0532317,-6.4548798,2.87292,1.8870459,-4.372353,2.7759027,-2.5756857,-0.092480645,-4.0478086,0.12112146,-2.309529,0.58100873,2.4364421,-2.060149,0.8002553,-1.0759435,-0.97400284,0.36930758,4.460899
12824,-5.4879518,-0.40237948,3.8811193,1.8171692,1.0689849,7.860223,-6.794188,5.0235133,-4.339603,-1.2155688,2.8394063,5.7083297,5.5113935,-7.451157,-3.4169636,5.644507,0.46297446,-4.957115,-0.76004785,4.509505,3.9553108,-2.0468237,7.856869,1.0081799,3.8001993
12704,-4.5560594,3.7760282,-5.320845,2.7356362,-3.8980803,-3.060632,3.3494103,4.0601707,1.480952,2.3193674,8.029919,1.0584874,6.9443827,-0.15662205,-1.48943,0.27408212,-3.408259,-1.3287295,-0.94517606,2.1686294,0.9009891,-5.106487,-0.82245976,-1.6236664,-3.6124256
12103,-8.789318,-0.2735567,2.7987776,-3.9316268,5.343837,-0.5749981,-5.110132,1.216995,-1.2505759,-0.30036524,0.05604322,-2.5452185,-2.6869972,-3.3566766,0.7971562,4.197777,5.362013,-1.9243317,3.8299541,6.1059656,-1.8563371,-4.808166,-0.100999035,-4.9814625,-3.5438
12876,-2.3860748,0.0132830255,-7.742186,3.7418349,-4.7365737,-7.1760993,-0.5380709,0.5374136,0.39459273,8.378184,2.768868,-1.7167623,0.26622805,2.8955197,1.6758744,-0.024307376,-2.930945,0.19063516,3.211986,2.6279745,2.9303777,-0.50391436,-1.3995748,-5.469818,5.0365696
12181,0.22969238,0.20512709,2.192087,3.1616433,9.187138,1.5613449,-4.025438,10.982555,2.3972585,-1.7489784,4.41765,2.2231364,-2.6598353,3.5722718,-1.1375436,-5.198686,2.3898375,3.00725,0.88353074,-0.4124032,1.9143012,2.8574848,-1.3109069,-2.6448069,-3.6105547
12736,11.834275,6.450981,2.0038886,-0.7111711,9.078552,2.8374019,-3.5066829,2.4945388,-5.6900964,0.24971636,7.827073,2.558526,-2.9157043,1.6499325,-1.7368275,-1.080026,1.3843535,-0.63423675,-0.21053715,-1.9986686,0.067886576,0.76364267,0.25224897,-1.1517096,-0.6423389
12040,-1.708984,-5.8230867,4.918134,9.920364,6.364639,1.385332,-1.1816125,-4.6445746,-4.8317356,1.4633108,6.6175423,1.6217092,3.469718,-2.7606418,-5.40822,4.412971,-3.4044962,-1.716211,1.4793303,-1.940945,4.1129255,-3.9063778,1.9906149,0.22181952,-1.0328108
12926,-7.080662,-1.9263881,-7.627615,-2.9074087,-5.138176,-0.9217336,-1.691531,-7.6293473,-8.587585,4.500219,2.9656029,-5.301236,-1.7142577,-3.5853379,-1.7399316,-0.62331706,3.2144194,3.7915845,-2.7353323,-2.9243653,-1.1229337,1.2966456,-1.2741843,-1.0232934,-5.4174457
