,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
10220,16.011812,-1.418669,1.2876427,-1.1044097,1.7929174,-0.6449468,-0.8807164,-2.2859676,-1.5069474,-3.6660333
14361,-5.9709115,-3.0072858,2.5149024,-5.1323924,0.999093,14.184327,-4.8172503,0.59617794,3.4121075,-3.3187704
15365,-12.173031,19.27352,1.7268579,0.92686594,3.5214984,-0.68405616,1.6262804,-0.8848649,5.018207,-2.8132136
14897,-5.680031,-5.6096153,0.4413288,-2.6483338,6.627682,3.574955,-6.428923,3.448149,5.129853,-3.36686
15865,-7.4543347,20.67924,2.031296,4.2334094,2.8169847,-0.5533348,1.9048759,-0.18733054,2.8566518,-2.0868728
15446,13.971998,-0.0036188753,-4.263032,-2.8773177,-2.4522538,-8.315935,0.9354167,1.0780579,-0.7300366,0.6250905
15210,-8.87723,20.449135,1.3005515,2.2129874,2.9124277,-0.9392616,1.3525887,0.22122483,1.9434887,0.0059537212
15478,-2.3623645,-3.132278,-0.8103459,10.176102,-0.56560385,-2.9579053,2.4695954,0.93877286,5.1735907,9.028742
13902,-5.23224,-3.3412924,-7.3205614,1.9505031,-1.9257089,-4.4807878,-1.6903977,4.833431,3.5389082,-1.6558622
14235,12.03752,6.758255,-6.496648,-0.9422034,-5.153875,3.0905359,1.3203598,5.1188416,3.0960248,5.38095
14261,15.24412,1.0939488,1.1201086,-2.3264031,-3.137596,3.7019932,1.1686774,2.373723,6.2610717,3.6852152
15856,-11.652362,18.67206,1.952041,1.3323188,2.6406739,-0.65787077,-0.7793514,-2.995514,2.0245743,-0.115903996
13825,-3.852407,0.21738218,5.148863,-1.0069687,4.1572347,-2.4505272,-8.245716,2.9568412,-4.084374,-0.97897816
16103,-9.789589,0.21089396,-5.5800366,-0.523451,-3.2517257,-3.186952,-0.5225817,1.3220487,-1.1513212,-2.392924
14730,-6.8974504,-2.83881,8.236427,-4.475724,-1.2282271,-6.101163,-7.925229,1.5437568,0.9645009,-6.851408
15846,-12.161436,19.931353,1.1700814,-1.4569274,3.5189183,-0.34204054,0.82499754,-2.5185795,5.3340693,-2.1649728
13890,-5.8796673,6.789197,0.67804754,0.4178029,1.5392084,-1.4625473,-1.9828235,5.7879066,-1.3295448,-5.3028984
16020,-14.461843,18.020716,1.0943433,-0.77169615,2.0020866,-0.5857657,-1.8616986,-5.31489,-1.2226678,4.4821906
14461,-7.67639,0.27013284,2.6152132,0.457093,3.6993964,11.386114,7.7953,7.8559027,-5.8268094,4.3340507
15542,-6.2528205,-2.0060518,-3.4018285,0.07099541,3.4519868,-1.4779295,-8.522283,2.225925,-1.7468219,0.2364485
15836,14.684805,1.4884043,-0.7268769,-1.7080858,1.9924608,1.7590147,1.5406214,-1.3451648,6.7139316,6.50824
15585,-5.4166403,-1.4597099,-3.1211672,0.8409763,4.350173,0.21554531,-6.9986167,1.2321264,-0.19388938,2.0710683
14434,15.368857,0.6746751,7.811383,-4.7847323,-2.116242,-3.215542,2.053495,-5.981,-0.9674618,1.0576501
13991,-2.3166695,-3.1597207,0.2730579,1.7534391,3.8350031,2.1512828,12.264373,-2.377914,-1.7652427,3.3620937
14177,-3.5226326,-6.465221,4.6883287,-6.267051,-0.020403663,-5.877438,-1.7780015,-1.9232612,-1.564786,4.6302238
14828,-6.3611646,-1.8823438,-0.34139434,0.09788455,3.5012004,0.50624454,-6.52161,0.19844805,1.1158203,-4.7826447
15258,14.407514,2.2774262,-4.082,-0.58947295,-2.1980715,-0.14714707,2.0845573,-3.301079,2.47258,2.1435251
15717,-9.520615,20.167118,1.81464,1.2530577,4.1439743,0.121524885,5.059027,-1.2981819,4.386409,-1.7169428
15934,-1.3880681,-4.755837,-0.9255994,0.25722396,3.7640595,2.1518548,5.4316998,1.8887472,6.046888,-3.5481005
15792,-9.459462,1.9519238,-9.36344,-0.3682508,-4.7309017,-3.3110168,-3.14908,1.101115,-0.17483862,0.74221045
15655,-0.102460146,-1.6482103,1.3519968,18.15063,2.6648827,-1.0657468,-5.3736606,3.08249,0.27962214,1.5689132
15508,-6.7970037,0.28971586,-6.6845417,-1.8223735,-2.147919,0.008581908,4.8992825,-5.154674,-2.4255548,-2.02159
15532,-6.1748757,-7.346238,-4.971976,-1.7070618,2.86683,-1.3942417,-1.1741502,-0.2385724,5.639696,-6.7185206
14285,-6.460453,-1.369224,-8.96159,1.8709121,-4.3737082,-4.0654902,-3.0167992,-3.9383972,-3.3224237,-5.7022405
14803,-3.0564783,-5.3974924,-0.06604549,3.2785892,5.121695,-0.7752994,-0.44138137,-1.4065979,2.532688,-0.967429
15732,-6.1042256,0.22248979,-5.568253,-0.8518719,1.0859091,2.202028,2.078623,6.1489544,-1.8984058,-4.2545686
14307,-3.8892152,1.2516444,8.906112,-3.74351,-8.19175,-7.8457294,-3.1222198,5.988921,-0.9316649,0.02486838
